date,Source,UNITONBT,SO2TONS,HEATINBA,NH3TONS,UNITONBA,HEAT_QA,HEATINBT,GFLOW_BA,NOXTONS,LOADMWBA,COTONS,LOADMWBT,Emissions_Load_SO2TONS,Emissions_Load_NOXTONS,Emissions_Load_COTONS,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres
1/20/2023,LAKE-3,823.0,0.002197426,508.8933333,0.017657418,54.86666667,7633.4,7633.4,4952.301053,0.042861823,50.54943281,0.01202527,758.2414922,4.347083395098534e-05,0.0008479189699537204,0.00023789129435337772,6.0,-4.3,17.8,0.0,0.0,313,13.0,1014.4
1/21/2022,LAKE-3,796.0,0.002373581,548.76,0.026436261,53.06666667,8231.4,8231.4,5282.52405,0.052373803,59.78991836,0.010939742,896.8487754,3.9698682739596234e-05,0.0008759637817976776,0.00018296967616063492,2.7,-3.2,11.7,0.0,0.0,138,5.4,1019.9
1/21/2022,LAKE-4,1036.0,0.003393215,641.5611111,0.007876507,57.55555556,11548.1,11548.1,6175.975532,0.066817504,72.15479873,0.033139088,1298.786377,4.702687915043957e-05,0.0009260299408502002,0.00045927767221699237,2.7,-3.2,11.7,0.0,0.0,138,5.4,1019.9
1/21/2023,LAKE-1,1243.0,0.003350913,537.5190476,0.021729225,59.19047619,11287.9,11287.9,5230.730508,0.06356065,55.28598994,0.030280773,1161.005789,6.061052725358869e-05,0.0011496701075440667,0.0005477115094233221,7.1,-2.1,11.1,0.0,0.0,301,10.8,1016.5
1/21/2023,LAKE-2,977.0,0.00289067,573.8235294,0.027044921,57.47058824,9755.0,9755.0,5583.976086,0.054124783,60.491822,0.031496003,1028.360974,4.77861288423417e-05,0.0008947454583199693,0.0005206654711111199,7.1,-2.1,11.1,0.0,0.0,301,10.8,1016.5
1/22/2022,LAKE-3,260.0,0.000765681,551.56,0.007929681,52.0,2757.8,2757.8,5309.674722,0.016580612,60.0491244,0.003527887,300.245622,1.2750910319684863e-05,0.0002761174649201047,5.875001567882978e-05,6.3,0.6,12.2,0.0,0.0,46,18.4,1019.1
1/22/2022,LAKE-4,703.0,0.00215836,533.3571429,0.009611979,50.21428571,7467.0,7467.0,5134.357303,0.043868518,58.92421209,0.022539704,824.9389693,3.662942487382524e-05,0.0007444905318885869,0.00038252024423463107,6.3,0.6,12.2,0.0,0.0,46,18.4,1019.1
1/22/2023,LAKE-1,998.0,0.00289501,543.4555556,0.018882256,55.44444444,9782.2,9782.2,5288.551453,0.054860062,57.50927034,0.025685828,1035.166866,5.033988403755498e-05,0.000953934238352571,0.00044663804371265824,5.3,-3.8,13.3,0.0,0.0,88,5.8,1013.4
1/22/2023,LAKE-2,442.0,0.00124985,481.1,0.012509248,49.11111111,4329.9,4329.9,4681.75578,0.023892621,50.21551458,0.013796842,451.9396312,2.488971805733112e-05,0.0004758015764617103,0.0002747525762783889,5.3,-3.8,13.3,0.0,0.0,88,5.8,1013.4
1/22/2023,LAKE-3,318.0,0.000875367,522.3166667,0.009091687,53.0,3133.9,3133.9,5083.126978,0.018321078,53.17378665,0.005308663,319.0427199,1.646237846030851e-05,0.00034455093673491473,9.983609094726754e-05,5.3,-3.8,13.3,0.0,0.0,88,5.8,1013.4
1/23/2022,LAKE-4,422.0,0.001245389,544.3875,0.006327772,52.75,4355.1,4355.1,5240.622748,0.024740818,59.82287239,0.012507728,478.5829791,2.081794053419908e-05,0.00041356787147745985,0.00020907936212856927,4.4,-2.7,12.2,0.0,0.0,37,7.6,1018.9
1/23/2023,LAKE-1,1440.0,0.00448506,622.925,0.029867496,60.0,14950.2,14950.2,6061.966163,0.08212966,67.70075222,0.03192195,1624.818053,6.624830379174182e-05,0.0012131277320687943,0.0004715154404232704,8.9,2.2,17.2,1.8,0.0,324,12.2,1006.4
1/23/2023,LAKE-2,849.0,0.002621441,561.575,0.025439599,53.0625,8985.2,8985.2,5465.009063,0.049524151,61.28675499,0.024511153,980.5880799,4.2773369228436615e-05,0.0008080726579190028,0.0003999420919577064,8.9,2.2,17.2,1.8,0.0,324,12.2,1006.4
1/23/2023,LAKE-3,1011.0,0.003264983,643.7352941,0.026521599,59.47058824,10943.5,10943.5,6264.420259,0.063045455,68.3159964,0.016914525,1161.371939,4.7792364483466716e-05,0.0009228505521731657,0.00024759245112905944,8.9,2.2,17.2,1.8,0.0,324,12.2,1006.4
1/24/2022,LAKE-1,430.0,0.001454625,613.325,0.002422747,53.75,4906.6,4906.6,5904.23028,0.027283982,67.29983746,0.003928559,538.3986996,2.161409380616355e-05,0.0004054093297954303,5.837397456323663e-05,6.1,-1.0,15.6,0.0,0.0,357,7.6,1012.5
